expocode: 32DB20190119
vessel name: Saildrone1020_Antarctic
"PIs: Sutton, A."
vessel type: Autonomous Surface Vehicle
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,WSPD (m/s),WSPD QF
Saildrone1020_Antarctic,-47.1136,170.7967,01/19/2019,20:17,384.1,2,2.5,402.5,2,2.49,996.5,14.1,100.49,12.564,34.366,385.1,403.5,371.9,389.7,-17.8,373.3,391.1,-17.8,14.7,2
Saildrone1020_Antarctic,-47.141,170.9156,01/19/2019,21:17,372.7,2,2.54,402,2,2.56,996.9,14.2,100.38,12.664,34.361,373.7,403,361,389.4,-28.4,362.3,390.8,-28.5,17.2,2
Saildrone1020_Antarctic,-47.1722,171.0097,01/19/2019,22:17,383.7,2,2.8,401.5,2,2.81,996.1,14.5,100.72,12.76,34.362,384.7,402.6,371.4,388.6,-17.3,372.8,390.1,-17.3,12,2
Saildrone1020_Antarctic,-47.208,171.1025,01/19/2019,23:17,382.3,2,2.87,401.4,2,2.83,995.6,14.9,100.84,12.815,34.365,383.4,402.5,369.9,388.3,-18.4,371.2,389.7,-18.5,15.7,2
Saildrone1020_Antarctic,-47.2467,171.1973,01/20/2019,00:17,381,2,2.99,400.7,2,2.99,995.4,15.3,100.65,13.267,34.372,382.2,401.9,368.5,387.5,-19.1,369.8,388.9,-19.1,15.3,2
Saildrone1020_Antarctic,-47.2856,171.2848,01/20/2019,01:17,373.4,2,3.13,400.8,2,3.08,994.5,15.8,100.89,13.413,34.37,374.6,402.1,360.8,387.3,-26.5,362.1,388.7,-26.6,12.9,2
Saildrone1020_Antarctic,-47.3339,171.3825,01/20/2019,02:17,373.1,2,3.01,400.7,2,3.01,993.7,15.9,100.89,13.453,34.376,374.2,401.9,360.1,386.8,-26.7,361.4,388.2,-26.8,14.5,2
Saildrone1020_Antarctic,-47.3859,171.4863,01/20/2019,03:17,372.5,2,2.94,401,2,3.02,993.2,15.8,100.66,13.342,34.376,373.6,402.2,359.4,386.9,-27.5,360.7,388.3,-27.6,16.1,2
Saildrone1020_Antarctic,-47.4381,171.5906,01/20/2019,04:17,381.6,2,2.72,401.7,2,2.73,992.2,15.5,100.71,12.851,34.362,382.6,402.8,367.9,387.3,-19.4,369.2,388.7,-19.5,13.7,2
Saildrone1020_Antarctic,-47.4902,171.705,01/20/2019,05:17,381.4,2,2.68,401,2,2.71,992.1,15.2,100.47,12.986,34.362,382.4,402.1,367.5,386.5,-18.9,368.9,387.9,-19,14.1,2
Saildrone1020_Antarctic,-47.5438,171.8309,01/20/2019,06:17,368.9,2,2.73,401.7,2,2.74,991.9,15.1,100.31,13.297,34.372,369.9,402.8,355.4,386.9,-31.6,356.7,388.3,-31.7,16.1,2
Saildrone1020_Antarctic,-47.5867,171.9373,01/20/2019,07:17,372.8,2,2.67,401.8,2,2.65,991.6,15.1,100.46,13.273,34.374,373.8,402.9,359,386.9,-28,360.3,388.3,-28.1,15.2,2
Saildrone1020_Antarctic,-47.634,172.0544,01/20/2019,08:17,374.5,2,2.54,402.2,2,2.58,991.1,15,100.53,13.107,34.373,375.5,403.3,360.5,387.2,-26.7,361.8,388.6,-26.8,15,2
Saildrone1020_Antarctic,-47.6811,172.1725,01/20/2019,09:17,374.1,2,2.49,402.3,2,2.44,991.8,14.8,100.43,12.901,34.373,375.1,403.3,360.4,387.6,-27.1,361.7,389,-27.2,17.6,2
Saildrone1020_Antarctic,-47.7216,172.2876,01/20/2019,10:17,387.7,2,2.45,402.5,2,2.43,991.2,14.6,100.64,12.473,34.373,388.6,403.5,373.4,387.7,-14.3,374.7,389.1,-14.4,14.5,2
Saildrone1020_Antarctic,-47.7612,172.4153,01/20/2019,11:17,377.9,2,2.33,402.6,2,2.32,991.2,14.3,100.51,12.107,34.376,378.8,403.5,364,387.8,-23.7,365.4,389.2,-23.8,16.6,2
Saildrone1020_Antarctic,-47.7952,172.5372,01/20/2019,12:17,375.9,2,2.34,402.4,2,2.37,991,14,100.4,12.146,34.393,376.8,403.3,362,387.5,-25.5,363.4,389,-25.6,15.9,2
Saildrone1020_Antarctic,-47.8255,172.6491,01/20/2019,13:17,379.1,2,2.36,402.2,2,2.39,990.7,13.9,100.61,12.115,34.402,380,403.2,365,387.2,-22.2,366.4,388.7,-22.3,14.1,2
Saildrone1020_Antarctic,-47.8531,172.748,01/20/2019,14:17,379.7,2,2.4,402.6,2,2.41,990,13.8,100.83,11.994,34.405,380.6,403.6,365.3,387.4,-22.1,366.7,388.8,-22.2,14.6,2
Saildrone1020_Antarctic,-47.8825,172.8433,01/20/2019,15:17,378.5,2,2.32,402.4,2,2.36,989.5,13.8,100.64,12.097,34.392,379.4,403.4,364,387,-23,365.3,388.4,-23.1,15.1,2
Saildrone1020_Antarctic,-47.9195,172.939,01/20/2019,16:17,383,2,2.33,402.6,2,2.36,989.3,13.8,100.73,12.267,34.376,383.9,403.5,368.1,387,-18.8,369.5,388.4,-18.9,15.5,2
Saildrone1020_Antarctic,-47.9607,173.0316,01/20/2019,17:17,383,2,2.39,402.5,2,2.41,989.2,13.8,100.79,12.295,34.372,383.9,403.5,368.1,386.9,-18.8,369.5,388.3,-18.8,13.6,2
Saildrone1020_Antarctic,-48.0039,173.117,01/20/2019,18:17,382.8,2,2.37,402.5,2,2.39,988.8,13.8,100.82,12.282,34.37,383.8,403.5,367.8,386.7,-18.9,369.2,388.2,-19,14.2,2
Saildrone1020_Antarctic,-48.0541,173.2066,01/20/2019,19:17,374.7,2,2.29,402.6,2,2.27,988.8,13.9,100.58,12.289,34.369,375.6,403.5,360,386.7,-26.7,361.3,388.2,-26.8,16.6,2
Saildrone1020_Antarctic,-48.1072,173.3009,01/20/2019,20:17,383.7,2,2.41,402.6,2,2.37,988.7,13.9,100.64,12.21,34.368,384.6,403.6,368.7,386.8,-18.2,370,388.2,-18.2,14.8,2
Saildrone1020_Antarctic,-48.1636,173.4074,01/20/2019,21:17,376.1,2,2.46,402.5,2,2.48,988.8,13.9,100.49,11.872,34.383,377.1,403.5,361.6,386.9,-25.4,362.9,388.4,-25.5,16,2
Saildrone1020_Antarctic,-48.2166,173.5203,01/20/2019,22:17,380.8,2,2.61,403,2,2.56,988.3,14,100.77,11.681,34.389,381.8,404,366,387.3,-21.3,367.4,388.7,-21.3,13.7,2
Saildrone1020_Antarctic,-48.2694,173.6402,01/20/2019,23:17,375.3,2,2.29,402.8,2,2.33,989.1,14,100.54,11.785,34.387,376.2,403.7,360.9,387.3,-26.4,362.2,388.7,-26.5,18.9,2
Saildrone1020_Antarctic,-48.3177,173.7657,01/21/2019,00:17,379.8,2,2.34,402.8,2,2.28,989.3,14,100.6,11.846,34.377,380.7,403.7,365.3,387.3,-22,366.6,388.7,-22.1,15.2,2
Saildrone1020_Antarctic,-48.358,173.8894,01/21/2019,01:17,378.2,2,2.48,402.5,2,2.48,989.6,14,100.52,11.752,34.382,379.2,403.5,363.9,387.3,-23.4,365.2,388.7,-23.5,16.5,2
Saildrone1020_Antarctic,-48.3924,174.0068,01/21/2019,02:17,379.1,2,2.29,402.6,2,2.32,989.9,13.9,100.71,11.841,34.385,380,403.5,364.8,387.4,-22.6,366.1,388.8,-22.7,13.7,2
Saildrone1020_Antarctic,-48.4229,174.1165,01/21/2019,03:17,381.1,2,2.41,402.6,2,2.42,990.6,14.1,100.9,11.928,34.381,382,403.5,367,387.7,-20.7,368.3,389.1,-20.7,13.5,2
Saildrone1020_Antarctic,-48.4495,174.2199,01/21/2019,04:17,381.2,2,2.41,402.7,2,2.42,991.1,14.2,100.99,11.842,34.378,382.1,403.7,367.3,388,-20.8,368.6,389.5,-20.9,11.9,2
Saildrone1020_Antarctic,-48.4745,174.3163,01/21/2019,05:17,379.1,2,2.32,402.9,2,2.39,991.2,14,101.08,11.749,34.381,379.9,403.9,365.2,388.2,-23,366.6,389.7,-23.1,12,2
Saildrone1020_Antarctic,-48.4987,174.4033,01/21/2019,06:17,380.1,2,2.52,402.9,2,2.51,991.8,13.9,101.07,11.753,34.385,381.1,403.9,366.6,388.5,-22,367.9,390,-22,11.9,2
Saildrone1020_Antarctic,-48.5268,174.4841,01/21/2019,07:17,381.7,2,2.16,403.2,2,2.17,992.6,13.7,101,11.633,34.376,382.5,404.1,368.3,389.1,-20.8,369.6,390.5,-20.9,13.6,2
Saildrone1020_Antarctic,-48.5583,174.5654,01/21/2019,08:17,385.6,2,2.09,403.7,2,2.13,993,13.4,100.92,11.216,34.354,386.4,404.6,372.3,389.8,-17.5,373.7,391.2,-17.6,13,2
Saildrone1020_Antarctic,-48.594,174.6551,01/21/2019,09:17,383,2,2.04,403.8,2,2.08,993.5,13,100.83,11.125,34.339,383.8,404.7,370,390.1,-20.1,371.4,391.6,-20.2,14.2,2
Saildrone1020_Antarctic,-48.6268,174.7369,01/21/2019,10:17,389.7,2,2.1,403.7,2,2.14,994.3,12.8,100.93,10.899,34.323,390.5,404.5,376.9,390.4,-13.5,378.3,391.9,-13.6,11.3,2
Saildrone1020_Antarctic,-48.6633,174.8168,01/21/2019,11:17,388.9,2,2.11,403.7,2,2.14,994.6,12.7,101.03,11.019,34.323,389.7,404.5,376.2,390.5,-14.3,377.6,392,-14.4,11.5,2
Saildrone1020_Antarctic,-48.6968,174.891,01/21/2019,12:17,391,2,2.07,403.8,2,2.11,994.9,12.6,101.08,11,34.325,391.8,404.7,378.3,390.7,-12.4,379.7,392.2,-12.5,12.4,2
Saildrone1020_Antarctic,-48.7345,174.9802,01/21/2019,13:17,393.9,2,2.02,403.8,2,2.04,995,12.6,101.03,10.897,34.317,394.7,404.6,381.2,390.8,-9.6,382.6,392.2,-9.6,12.2,2
Saildrone1020_Antarctic,-48.7736,175.0675,01/21/2019,14:17,389.2,2,2.07,403.7,2,2.1,995,12.5,101.05,10.871,34.314,390,404.6,376.6,390.7,-14.1,378,392.2,-14.1,13.3,2
Saildrone1020_Antarctic,-48.8146,175.1548,01/21/2019,15:17,389.9,2,2.07,403.9,2,2.08,995.3,12.5,100.96,10.89,34.333,390.7,404.7,377.4,391,-13.6,378.9,392.5,-13.6,11.8,2
Saildrone1020_Antarctic,-48.8549,175.2438,01/21/2019,16:17,388.6,2,2.03,404,2,2.05,995.7,12.4,100.97,10.769,34.332,389.4,404.8,376.4,391.3,-14.9,377.8,392.8,-15,12.9,2
Saildrone1020_Antarctic,-48.8925,175.3347,01/21/2019,17:17,387.9,2,2.04,404,2,2.05,996.2,12.4,101.03,10.738,34.331,388.7,404.8,375.9,391.5,-15.6,377.3,393,-15.6,12.5,2
Saildrone1020_Antarctic,-48.9268,175.4259,01/21/2019,18:17,388,2,2.16,403.9,2,2.15,996.5,12.3,100.98,10.643,34.334,388.9,404.8,376.2,391.6,-15.4,377.6,393.1,-15.4,12.1,2
Saildrone1020_Antarctic,-48.956,175.5191,01/21/2019,19:17,390.1,2,2.21,403.8,2,2.19,997,12.4,100.99,10.695,34.329,391,404.7,378.4,391.7,-13.3,379.8,393.2,-13.3,10.1,2
Saildrone1020_Antarctic,-48.9812,175.6078,01/21/2019,20:17,394.7,2,2.31,403.9,2,2.32,997.4,12.5,101.05,10.448,34.303,395.6,404.8,383.1,392,-8.9,384.6,393.5,-8.9,11.6,2
Saildrone1020_Antarctic,-49.0017,175.6887,01/21/2019,21:17,395.9,2,2.43,403.7,2,2.36,997.6,12.7,101.04,10.257,34.287,396.8,404.6,384.4,392,-7.6,385.9,393.5,-7.6,10,2
Saildrone1020_Antarctic,-49.0227,175.7534,01/21/2019,22:17,397.2,2,2.64,403.4,2,2.6,997.1,12.9,101.13,10.275,34.281,398.2,404.5,385.6,391.6,-6,387.1,393.1,-6,8.4,2
Saildrone1020_Antarctic,-49.0446,175.8113,01/21/2019,23:17,396.6,2,2.65,403.2,2,2.61,996.5,13.4,101.16,10.286,34.281,397.7,404.3,384.8,391.2,-6.4,386.3,392.7,-6.4,10.1,2
Saildrone1020_Antarctic,-49.0676,175.8624,01/22/2019,00:17,396.1,2,2.48,403.8,2,2.46,995.5,13.3,101.24,10.409,34.291,397.1,404.8,383.8,391.3,-7.5,385.3,392.8,-7.5,8.4,2
